last_name,first_name,address1,address2,city,state,zip,dob_raw,gender,driver_license,case_number,branch,municipality,offense_date,supervision_end_date,charge_code,sentence_type,course_length,tail_id,line_number
JONES,AMANDA,1414 OAK RIDGE DR,APT 2B,MCHENRY,IL,60050,95071219,F,C1234567890,IL25TR00004567,CR,GRNE,2026-02-12,2027-02-12,WJSUP,DFDR,04,0001000200010017,1
VANDERMEER,JONATHAN,88 W GRAND AVE,,ROUND LAKE BEACH,IL,60073,88010319,M,C2345678901,IL25MT00007890,NB,WAUK,2026-01-05,2027-01-05,WJSUP,DFDR,08,0001000200010042,2
CHEN,LI,500 S LAKE SHORE DR,UNIT 19A,CHICAGO,IL,60601,01042120,F,C3456789012,IL25TR00001234,DA,WCHI,2026-02-10,2027-02-10,WJSUP,DFDR,04,0001000200010099,3
O'BRIEN,KATIE,912 MAPLE ST,APT A,WAUKEGAN,IL,60085,79051219,F,C4567890123,IL25CF00009999,MN,LNSH,2026-02-01,2027-02-01,WJSUP,DFDR,08,E000000000000123,4
HARRISON,MICHAEL,77 PRAIRIE LN,APT 4B,FOX RIVER GROVE,IL,60021,93081219,M,C5678901234,IL25TR00002222,CR,GRNE,2026-02-12,2027-02-12,WJSUP,DFDR,04,0001000200010101,5
SINGH,PRIYA,2600 N MILWAUKEE AVE,STE 300,CHICAGO,IL,60647,99021519,F,C6789012345,IL25MT00003333,DA,WCHI,2026-02-08,2027-02-08,WJSUP,DFDR,08,0001000200010115,6
GARCIA-LOPEZ,ISABEL,18 FOREST VIEW CT,,MUNDELEIN,IL,60060,02091120,F,C7890123456,IL25TR00004444,NB,LKRD,2026-02-10,2027-02-10,WJSUP,DFDR,04,0001000200010128,7
KOWALSKI,TOMASZ,3011 N LINCOLN AVE,APT 12,CHICAGO,IL,60657,85032619,M,C8901234567,IL25CF00005555,MN,LNSH,2026-02-06,2027-02-06,WJSUP,DFDR,08,E000000000000777,8
PETERSON,HAILEY,9021 W MAIN ST,,WAUCONDA,IL,60084,04070120,F,C9012345678,IL25TR00006666,NB,WAUK,2026-02-02,2027-02-02,WJSUP,DFDR,04,0001000200010140,9
NGUYEN,ANH,1200 RIVER RUN BLVD,UNIT 7,PLEASANT PRAIRIE,WI,53158,97011819,F,C0123456789,IL25MT00007777,NB,WAUK,2026-02-09,2027-02-09,WJSUP,DFDR,08,0001000200010153,10
MARTINEZ,CARLOS,4550 E 82ND AVE,APT 9C,MERRILLVILLE,IN,46410,91043019,M,C1357924680,IL25TR00008888,DA,WCHI,2026-02-07,2027-02-07,WJSUP,DFDR,04,0001000200010166,11
FITZGERALD,EMILY,6 N STATE ST,APT 410,CHICAGO,IL,60602-1234,06092220,F,C2468013579,IL25CF00001111,MN,LNSH,2026-02-03,2027-02-03,WJSUP,DFDR,08,0001000200010179,12
