last_name,first_name,address1,address2,city,state,zip,dob_raw,gender,driver_license,case_number,case_state,case_year,case_type,case_seq,branch,municipality,offense_date_raw,offense_date,supervision_end_date_raw,supervision_end_date,charge_code,sentence_type,course_length,tail_id,line_number
,,,,,,,,,,IL25TR00004567,,,,,,,,,,,,,,0001000200010017,1
,,,,,,,,,,IL25MT00007890,,,,,,,,,,,,,,0001000200010042,2
,,,,,,,,,,IL25TR00001234,,,,,,,,,,,,,,0001000200010099,3
,,,,,,,,,,IL25CF00009999,,,,,,,,,,,,,,E000000000000123,4
,,,,,,,,,,IL25TR00002222,,,,,,,,,,,,,,0001000200010101,5
,,,,,,,,,,IL25MT00003333,,,,,,,,,,,,,,0001000200010115,6
,,,,,,,,,,IL25TR00004444,,,,,,,,,,,,,,0001000200010128,7
,,,,,,,,,,IL25CF00005555,,,,,,,,,,,,,,E000000000000777,8
,,,,,,,,,,IL25TR00006666,,,,,,,,,,,,,,0001000200010140,9
,,,,,,,,,,IL25MT00007777,,,,,,,,,,,,,,0001000200010153,10
,,,,,,,,,,IL25TR00008888,,,,,,,,,,,,,,0001000200010166,11
,,,,,,,,,,IL25CF00001111,,,,,,,,,,,,,,0001000200010179,12
